just_unique,t_users,t_ment,Include,Notes
sarahebeid,1079,4265,NA,NA
fatmaabed,2584,4209,Yes,NA
midoodj,1893,4178,NA,NA
hartalation,3042,4162,NA,NA
beleidy,3099,4046,NA,NA
ahmedfatah,2632,4033,Yes,NA
hossambahgat,1124,4016,Yes,NA
aelhawary,2535,3941,Yes,NA
hmeguid,2100,3929,Yes,NA
cabinet_eg,2650,3843,Yes,"Not necessarily a news source, but posts about events in Egypt"
kemety,1240,3831,NA,NA
eman_a_halim,2995,3782,Yes,"""Sorry, that page doesn’t exist!"""
evanchill,2032,3767,NA,NA
nadaauf,2603,3763,Yes,Found out she hates the internet service provider in Egypt
aymanasu,2379,3761,NA,NA
bluetercowas,2845,3761,NA,NA
g4s90,1077,3735,Yes,NA
gue3bara,2279,3675,NA,NA
ayman_shweky,2369,3607,Yes,NA
travellerw,2827,3587,NA,NA
manal,2525,3585,NA,NA
msheshtawy,1347,3573,Yes,location listed as doha/cairo
faissl,2486,3558,NA,NA
hassanyahya,2620,3556,NA,NA
shadysamir,2387,3512,NA,NA
raafatology,2627,3506,NA,NA
abdelrahmang,2980,3499,Yes,looked through pictures and seems Egyptian
basboussa1,2734,3490,NA,NA
arabist,2073,3473,NA,NA
_amrkhaled_,1780,3392,Yes,NA
ksouka,1661,3360,NA,NA
hebaaboueleid,1909,3343,NA,NA
rawyarageh,1457,3320,NA,NA
ziadaly,1762,3299,Yes,NA
yaseralzayat,1172,3281,NA,NA
ehabmes,1123,3257,NA,NA
shabab6april,1688,3250,Yes,NA
marionnette90,1954,3199,NA,NA
m_embaby,1664,3182,Yes,NA
3effat,1674,3147,NA,NA
hadouta,2490,3128,Yes,NA
aelmassry,1021,3118,NA,NA
lujee,1452,3112,NA,NA
2insana,2128,3110,Yes,NA
forsoothsayer,1091,3062,Yes,NA
elmansi,1817,3056,NA,NA
shadihamid,1423,3053,Yes,"He's a senior fellow at Brookings , and author of a book on Islam. He probably writes about Egypt"
justicentric,2470,3040,NA,NA
foxicandill,1251,3014,Yes,NA
rashaabdulla,1005,3004,NA,NA
abkamal,1540,2962,NA,NA
demaghmak,2224,2955,NA,NA
maizeiny,1585,2945,NA,NA
daliaziada,1830,2908,NA,NA
adamakary,1237,2896,NA,NA
nour_han,2200,2893,Yes,NA
menna_medhat,1759,2878,Yes,NA
salman_alodah,1126,2859,NA,NA
esraafehead,1974,2853,Yes,NA
samehwagdy,2049,2842,NA,NA
humbuka,1947,2822,NA,NA
ianinegypt,2286,2811,NA,NA
lobna,1076,2808,NA,NA
nourpharma,1872,2794,NA,NA
ahmedsamir1981,1317,2779,Yes,NA
s_elhussieny,1839,2774,NA,NA
altahawi,2172,2770,NA,NA
sherif_y,2212,2753,NA,NA
senefro,1257,2740,NA,NA
budzaya,1281,2736,NA,NA
kanaafa,1334,2726,Yes,NA
mianezar,2182,2712,NA,NA
yaraelgendy,1260,2711,NA,NA
naglarzk,1650,2685,Yes,NA
amrgunner1,1529,2656,NA,NA
amira_salah,1513,2633,NA,NA
jessaladdin,1689,2625,Yes,"Lists location as ""dubai/cairo"""
ghada_essawy,1537,2622,NA,NA
mariam_xxo,1726,2606,NA,NA
sherinet,1545,2606,NA,NA
tafatefo,2102,2601,Yes,NA
mrmeit,1610,2599,Yes,NA
ramezm,1796,2584,NA,NA
masrawya_magda3,1377,2564,Yes,NA
ahmedessawy,1731,2547,NA,NA
sherifnagib,1173,2546,NA,NA
aliabutaleb,1518,2541,NA,NA
amreldib,1647,2525,Yes,NA
moutaz_d,2054,2513,Yes,NA
anas3qeel,1532,2512,NA,NA
saraaayman,1979,2508,Yes,NA
suzeeinthecity,1099,2501,NA,NA
abol3araby,1824,2475,Yes,NA
gameelaismail,1523,2475,Yes,NA
btnafas7oria,1873,2435,NA,NA
osama_saber,1140,2420,NA,NA
themabos,1792,2407,NA,NA
seifsalama,1723,2402,NA,NA
halawa__,1046,2394,NA,NA
boody,1732,2380,NA,NA
ahmedsobhye,1794,2377,NA,NA
marwame,1743,2372,NA,NA
ayman_nour,1975,2367,Yes,NA
kikiesque,1535,2331,NA,NA
mohap_20,1852,2324,Yes,NA
sherif_,1145,2322,NA,NA
rago_legal,1020,2318,NA,NA
nohaatef,1796,2314,Yes,"It lists ""UK/egypt"" as the location"
esraa_ali,1711,2297,NA,NA
mahmoud_aziz,1695,2297,NA,NA
ellozy,1193,2277,NA,NA
farokadel,1933,2272,Yes,NA
yaratambash,1682,2245,NA,NA
reemawad,1651,2229,NA,NA
salmahafez89,1166,2211,NA,NA
triplem,1096,2211,NA,NA
bikyabookcafe,1182,2210,NA,NA
waelmmdooh_,1585,2209,NA,NA
ahmadtal3t,1146,2208,Yes,"says ""wherever's alexandria"" as his location. im assuming that means alexandria, egypt"
masr,1426,2191,Yes,NA
engyg,1518,2190,Yes,NA
evronia,1077,2154,NA,NA
beebohenein,1225,2147,NA,NA
monabdelaziz,1183,2123,NA,NA
ziadm,1046,2121,Yes,NA
aidaelkashef,1203,2110,NA,NA
omarshoeb,1166,2086,NA,NA
amrkhairi,1329,2078,NA,NA
amiralx,1222,2066,NA,NA
salem309,1229,2059,NA,NA
ahdayem,1248,2049,NA,NA
sherif_azer,1351,2043,NA,NA
azizasami,1777,2038,NA,NA
agharbeia,1365,2026,NA,NA
lahooz,1301,2025,NA,NA
salamander,1336,2023,NA,NA
rouelshimi,1114,1977,NA,NA
yasmeenmagdy,1054,1945,NA,NA
maykamel,1138,1933,NA,NA
mahagaber,1134,1930,NA,NA
r9rafik,1018,1912,NA,NA
maggieosama,1489,1880,NA,NA
hackneylad,1030,1877,Yes,"says he's based in ""cairo and london"""
elnadeem,1198,1868,NA,NA
marwarakha,1326,1867,NA,NA
nonnnzzz,1474,1839,NA,NA
basemfathy,1302,1803,Yes,account suspended; but someone based in alexandria tweeted at him/her
moez_wz_masoud,1444,1801,NA,NA
amrbassiouny,1211,1796,NA,NA
cvirus,1149,1794,Yes,NA
jarelkamar,1429,1784,NA,NA
safister,1050,1775,NA,NA
egychange,1278,1761,NA,NA
wnofal,1396,1741,NA,NA
maverickzz,1356,1739,NA,NA
waleedrashed,1048,1720,NA,NA
changeinlibya,1249,1712,NA,NA
ahmediiiii,1066,1685,NA,NA
holom10,1264,1672,Yes,Location listed as: germany/munich/cairo
occupiedcairo,1282,1671,NA,NA
camanpour,1166,1651,Yes,"she's a prominent correspondent for CNN, i'm assuming she talks about Egyptian politics too"
daliamosaad,1228,1646,NA,NA
mamoudinijad,1127,1631,NA,NA
ibawwad,1294,1627,NA,NA
ganobi,1063,1626,NA,NA
elba7r,1401,1608,NA,NA
farid56,1319,1604,NA,NA
mamnou3a,1134,1586,Yes,"doesn't state his location, but his description is, ""egyptian journalist"""
seldemerdash,1249,1569,Yes,NA
hosnimobarak,1341,1563,NA,NA
torkyat,1176,1556,Yes,NA
libya2p0,1274,1528,NA,NA
nanyatef,1051,1525,NA,NA
sohabayoumi,1147,1523,NA,NA
cjegypt,1171,1521,Yes,NA
aiayad,1044,1515,Yes,NA
nihalfares,1101,1503,NA,NA
mennaamr,1201,1495,NA,NA
egyptian_agenda,1244,1493,NA,NA
diptychal,1063,1481,NA,NA
arwasm,1126,1464,NA,NA
onislam_arabic,1153,1456,Yes,NA
radwan_adam,1191,1437,NA,NA
hebalsherif,1070,1402,NA,NA
akherelakhbar,1186,1397,NA,NA
hadeelalsh,1026,1391,NA,NA
aymanfarrouh,1030,1382,NA,NA
elna7as_pasha,1035,1362,NA,NA
drnemovet,1149,1313,Yes,NA
shereefabbas,1059,1269,Yes,NA
khaledfahmy,1013,1194,Yes,NA
